asdf_id,shapeName,COORD_X,COORD_Y,poly_id,mun,mun_id,dep,dep_id,dep_mun,shapeID,imds,rank_imds,population_2020,urbano_2012,sdg1_1_ubn,sdg1_2_mpi,sdg1_4_abs,sdg2_2_cmc,sdg2_2_oww,sdg2_4_pual,sdg2_4_td,sdg3_1_idca,sdg3_2_imr,sdg3_2_mrc,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg4_1_ssdrm,sdg4_1_ssdrf,sdg4_4_phe,sdg4_6_lr,sdg4_c_qti,sdg4_c_qts,sdg5_1_gpsd,sdg5_1_gpyp,sdg5_1_gpmpi,sdg5_5_gpop,sdg6_1_dwc,sdg6_2_sc,sdg6_3_wwt,sdg7_1_ec,sdg7_1_rec,sdg7_1_cce,sdg7_3_co2epc,sdg8_5_oprm,sdg8_5_ofrm,sdg8_6_mlm,sdg8_6_wlm,sdg8_10_dbb,sdg8_11_idi,sdg9_1_routes,sdg9_5_cd,sdg9_c_mnc,sdg9_c_drb,sdg10_2_gcye,sdg10_2_nssp,sdg11_1_hocr,sdg11_1_hno,sdg11_2_samt,sdg13_1_ccvi,sdg13_2_tco2e,sdg13_2_dra,sdg15_1_pa,sdg15_5_blr,sdg16_1_rhr,sdg16_6_pbec,sdg16_9_cr,sdg17_1_pmtax,sdg17_5_pipc,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,ln_NTLpc2012,ln_NTLpc2013,ln_NTLpc2014,ln_NTLpc2015,ln_NTLpc2016,ln_NTLpc2017,ln_NTLpc2018,ln_NTLpc2019,ln_NTLpc2020,ln_t400NTLpc2012,ln_t400NTLpc2013,ln_t400NTLpc2014,ln_t400NTLpc2015,ln_t400NTLpc2016,ln_t400NTLpc2017,ln_t400NTLpc2018,ln_t400NTLpc2019,ln_t400NTLpc2020,co2015,co2016,co2017,co2018,co2019,co2020,tr400_co2015,tr400_co2016,tr400_co2017,tr400_co2018,tr400_co2019,tr400_co2020,sdg1_1_eepr,sdg8_4_rem,sdg9_5_eutf,sdg10_2_iec
0,Esmeralda, -68.086369000000005, -18.945744000000001,178,Esmeralda,40505,Oruro,5,Oruro-Esmeralda,BOL-ADM3-33444609B20338026,  53.200001000000000,108,2854,0,  78.300003000000004,   0.100000000000000,  10.800000000000001,  19.200001000000000,  20.600000000000001,  47.099997999999999,0,  43.200001000000000,  28.700001000000000,  34.700001000000000,0,0,0,0,0,14,0,0,  11.800000000000001,  97.800003000000004,40,  53.599997999999999,1,1,   0.600000000000000,   0.600000000000000,  95.500000000000000,15,0,  82.400002000000001,2,37,   0.100000000000000,  68.500000000000000,  43.900002000000001,  14.699999999999999,  26.200001000000000,0,0,1,0,52,   0.400000000000000,   0.280000000000000,   8.100000000000000,  44.099997999999999,  87.699996999999996, 552.500000000000000,2,   0.100000000000000,0,0,0,0,  82.900002000000001,  86.699996999999996,  10.699999999999999,1082,  34.759998000000003,  55.080002000000000,  85.690002000000007,  68.860000999999997,  58.529998999999997,  34.540000999999997,  52.229999999999997,  30.920000000000002,  24.530000999999999,  83.940002000000007,  32.560001000000000,  77.379997000000003,50,  82.400002000000001,  26.889999000000000, 962.033080000000041,1051.799299999999903,1148.536499999999933,1242.429799999999886,1364.564300000000003,1486.785900000000083,1625.084399999999960,1772.250199999999950,1946.803100000000086,2044.587399999999889,2275.406300000000101,2564.914600000000064,2820.870399999999790,3077.378900000000158,3359.606699999999819,3707.091100000000097,4065.647899999999936,4454.597700000000259,4886.961400000000140,5354.104999999999563,  11.729473000000000,  12.111817000000000,  10.962021999999999,  11.699198000000001,  13.085610000000001,  13.647187000000001,  13.667681000000000,  13.595437000000000,  13.489281999999999,  11.414175000000000,  11.726494000000001,  12.039332000000000,  12.354540999999999,  12.671274000000000,  12.987050000000000,  13.300419000000000,  13.611585000000000,  13.921671000000000, 400.661040000000014, 402.318699999999978, 404.972719999999981, 406.841920000000016, 408.982640000000004, 410.997470000000021, 400.560209999999984, 402.639889999999980, 404.730740000000026, 406.832060000000013, 408.944090000000017, 411.067079999999976, , , , 
1,Santuario de Quillacas, -66.813557000000003, -19.318918000000000,169,Quillacas,40202,Oruro,5,Oruro-Quillacas,BOL-ADM3-33444609B53994240,  50.500000000000000,171,4474,0,  73.599997999999999,   0.150000000000000,  19.299999000000000,  31.500000000000000,  19.500000000000000,   7.700000000000000,87,  41.000000000000000,  48.599997999999999,  64.599997999999999,0,0,0,23,0,55,1,0,  12.100000000000000,  94.800003000000004,33,  25.000000000000000,2,0,   1.200000000000000,   0.900000000000000,  60.500000000000000,25,0,  64.599997999999999,27,49,   0.200000000000000,  78.699996999999996,  67.400002000000001,   6.800000000000000,  14.699999999999999,0,0,2,3,45,   2.800000000000000,   0.350000000000000,  16.700001000000000,  22.399999999999999,  77.199996999999996,   0.000000000000000,2,   0.200000000000000,0,0,0,0,  53.700001000000000,  90.099997999999999,   0.000000000000000,443,  27.950001000000000,  34.820000000000000,  70.199996999999996,  57.729999999999997,  87.529999000000004,  21.840000000000000,  50.110000999999997,  56.599997999999999,  46.639999000000003,  74.089995999999999,  30.680000000000000,  75.440002000000007,50,  69.720000999999996,   4.380000000000000,3312.917500000000018,3382.059099999999944,3447.346900000000005,3509.036099999999806,3575.702900000000227,3654.454600000000028,3723.517100000000028,3791.807099999999991,3862.399899999999889,3931.604200000000219,4008.879399999999805,4093.408199999999852,4171.941399999999703,4262.711900000000242,4357.560099999999693,4434.058600000000297,4517.645000000000437,4591.642600000000130,4682.317399999999907,4778.119599999999991,  12.965525000000000,  13.142761000000000,  13.074501000000000,  13.143079000000000,  12.948340000000000,  13.821883000000000,  13.822321000000001,  13.803769000000001,  14.016370000000000,  12.862933000000000,  12.999366999999999,  13.136051000000000,  13.273612000000000,  13.412519000000000,  13.552913999999999,  13.693778000000000,  13.834766999999999,  13.975857000000000, 398.695470000000000, 402.184509999999989, 404.498659999999973, 406.648799999999994, 408.325870000000009, 410.741609999999980, 399.424410000000023, 401.712679999999978, 404.012299999999982, 406.322360000000003, 408.643889999999999, 410.977910000000008,88.300003,18.1,18.200001,30
2,Pampa Aullagas, -67.165981000000002, -19.231798999999999,185,Pampa Aullagas,40802,Oruro,5,Oruro-Pampa Aullagas,BOL-ADM3-33444609B27878331,  47.299999000000000,246,2852,0,  85.199996999999996,   0.190000000000000,  12.300000000000001,  31.500000000000000,  19.500000000000000,  33.599997999999999,111,  33.700001000000000,  40.299999000000000,  52.700001000000000,0,0,0,34,0,55,1,1,   9.400000000000000,  92.599997999999999,0,  29.399999999999999,2,0,   1.100000000000000,   0.700000000000000,  66.199996999999996,19,0,  64.500000000000000,9,34,   0.100000000000000,  70.900002000000001,  51.700001000000000,   7.300000000000000,  22.200001000000000,0,0,0,4,43,   3.400000000000000,   0.390000000000000,  13.500000000000000,  27.200001000000000,  82.099997999999999,   0.000000000000000,2,   0.100000000000000,0,0,0,0,  56.500000000000000,  87.199996999999996,   0.300000000000000,788,  18.910000000000000,  54.580002000000000,  72.819999999999993,  48.720001000000003,  77.480002999999996,  22.480000000000000,  45.450001000000000,  35.470001000000003,  28.930000000000000,  76.000000000000000,  25.329999999999998,  74.610000999999997,50,  69.220000999999996,   9.770001000000001,2926.042199999999866,2930.130400000000009,2925.247600000000148,2920.445600000000013,2931.274699999999939,2917.232899999999972,2924.573499999999967,2921.395500000000084,2924.383299999999963,2924.427700000000186,2935.425799999999981,2944.410199999999804,2948.998000000000047,2946.728300000000218,2939.294699999999921,2952.705100000000130,2951.344700000000103,2957.139400000000023,2962.389200000000073,2961.244400000000041,  12.763059000000000,  12.927600999999999,  12.876277000000000,  12.199938000000000,  12.289141000000001,  13.406136999999999,  13.358245999999999,  12.982080000000000,  13.722827000000001,  12.547255000000000,  12.643209000000001,  12.739682000000000,  12.837940000000000,  12.939590000000001,  13.044642000000000,  13.151484999999999,  13.259406000000000,  13.368216000000000, 399.167539999999974, 401.310580000000016, 403.605039999999974, 405.796690000000012, 409.451320000000010, 410.876399999999990, 398.977840000000015, 401.380460000000028, 403.797910000000002, 406.230709999999988, 408.678769999999986, 411.140960000000007,96.699997,41.599998,12.5,11
3,Llallagua, -66.572716999999997, -18.362739999999999,205,Llallagua,50203,Potosí,7,Potosí-Llallagua,BOL-ADM3-33444609B13957296,  58.099997999999999,44,42861,85,  37.500000000000000,   0.067000000000000,  54.000000000000000,  18.000000000000000,  18.899999999999999,   2.800000000000000,3,  68.000000000000000,  43.099997999999999,  56.900002000000001,0,0,0,68,47,54,3,2,  29.600000000000001,  92.699996999999996,45,  69.000000000000000,1,0,   0.800000000000000,   0.700000000000000,  96.800003000000004,65,0,  88.500000000000000,108,83,   0.800000000000000,  61.000000000000000,  42.500000000000000,  10.500000000000000,  20.000000000000000,23,3,2,5,63,   3.400000000000000,   0.360000000000000,  15.000000000000000,  21.000000000000000,  43.500000000000000, 114.000000000000000,1,   0.800000000000000,0,0,0,1,  61.500000000000000,  92.900002000000001,   3.100000000000000,706,  60.479999999999997,  34.729999999999997,  72.260002000000000,  66.889999000000003,  72.970000999999996,  53.049999000000000,  69.360000999999997,  47.439999000000000,  60.150002000000001,  66.569999999999993,  48.880001000000000,  87.620002999999997,50,  69.269997000000004,  12.029999999999999,37124.078000000001339,37587.055000000000291,38141.207000000002154,38598.194999999999709,38822.410000000003492,39387.362999999997555,39696.394999999996799,40172.495999999999185,40422.711000000002969,40894.593999999997322,41286.733999999996740,41232.336000000002969,41785.758000000001630,42008.800999999999476,42489.726999999998952,43108.046999999998661,43508.593999999997322,43985.516000000003260,44480.925999999999476,44924.027000000001863,  14.275024999999999,  14.395530000000001,  14.490864000000000,  14.518698000000001,  14.763354000000000,  14.827301000000000,  14.902343000000000,  14.960201000000000,  14.870754000000000,  14.310976000000000,  14.400444000000000,  14.489757000000001,  14.578773000000000,  14.667354000000000,  14.755210999999999,  14.842294000000001,  14.928737000000000,  15.014818000000000, 398.486080000000015, 401.940249999999992, 404.031459999999981, 407.845889999999997, 410.139949999999999, 410.930299999999988, 399.103819999999985, 401.668029999999987, 404.247009999999989, 406.839999999999975, 409.445920000000001, 412.065580000000011,53.299999,5.8000002,19.5,81
4,Caripuyo, -66.592665999999994, -18.180205999999998,219,Caripuyo,50702,Potosí,7,Potosí-Caripuyo,BOL-ADM3-33444609B2060227,  43.500000000000000,299,8503,0,  88.800003000000004,   0.204000000000000,   8.300000000000001,  29.500000000000000,  18.000000000000000,   5.000000000000000,2,  16.799999000000000,  70.300003000000004,  98.599997999999999,0,0,0,11,0,85,4,1,   5.900000000000000,  87.099997999999999,40,  57.099997999999999,3,0,   0.900000000000000,   0.900000000000000,  93.300003000000004,15,0,  51.000000000000000,22,14,   0.000000000000000,  75.599997999999999,  68.599997999999999,   7.800000000000000,  18.600000000000001,0,0,0,3,20,   0.700000000000000,   0.460000000000000,  56.500000000000000,  16.799999000000000,  85.800003000000004,   0.000000000000000,2,   0.000000000000000,0,0,0,0,  57.200001000000000,  94.000000000000000,   0.000000000000000,433,  18.889999000000000,  32.189999000000000,  59.919998000000000,  49.669998000000000,  77.059997999999993,  33.659999999999997,  36.000000000000000,  49.000000000000000,  16.340000000000000,  41.639999000000003,  31.680000000000000,  77.529999000000004,50,  74.139999000000003,   4.240000000000000,8961.547899999999572,8997.285200000000259,9066.513699999999517,9147.908199999999852,9074.557600000000093,9064.574199999999109,9079.457000000000335,9065.628899999999703,9169.082000000000335,9156.552700000000186,9130.375000000000000,9241.015600000000632,9179.735399999999572,9252.234399999999368,9251.864299999999275,9114.176799999999275,9163.953100000000632,9104.115200000000186,9093.396500000000742,9119.442399999999907,  11.708997000000000,  12.142770000000001,  11.809417000000000,  11.976865999999999,  11.590055000000000,  12.510039000000001,  12.694350999999999,  12.807661000000000,  13.150372000000001,  11.612880000000001,  11.772615000000000,  11.932819000000000,  12.094685000000000,  12.259088999999999,  12.426621000000001,  12.596190999999999,  12.766927000000001,  12.938192000000001, 399.298920000000010, 401.706180000000018, 403.431849999999997, 408.012049999999988, 410.015260000000012, 410.729429999999979, 399.360630000000015, 401.810000000000002, 404.274170000000026, 406.752900000000011, 409.243710000000021, 411.747189999999989,84.199997,30.5,14.6,26
5,Aiquile, -65.104023999999995, -18.322990999999998,118,Aiquile,30201,Cochabamba,3,Cochabamba-Aiquile,BOL-ADM3-33444609B22499454,  50.400002000000001,177,24676,33,  69.099997999999999,   0.187000000000000,  41.700001000000000,  18.100000000000001,  23.399999999999999,   3.400000000000000,6,  46.599997999999999,  31.700001000000000,  39.400002000000001,2,0,0,32,41,85,3,2,   9.500000000000000,  87.900002000000001,60,  62.500000000000000,1,0,   1.200000000000000,   0.600000000000000,  74.800003000000004,47,0,  62.299999000000000,102,39,   1.400000000000000,  67.599997999999999,  37.599997999999999,  10.500000000000000,  30.000000000000000,12,4,3,3,41,   1.900000000000000,   0.460000000000000,  37.400002000000001,  24.100000000000001,  54.799999000000000,   0.600000000000000,1,   1.400000000000000,0,11,0,0,  58.099997999999999,  86.599997999999999,   2.200000000000000,613,  41.880001000000000,  30.070000000000000,  73.919998000000007,  56.169998000000000,  75.690002000000007,  36.409999999999997,  46.430000000000000,  43.340000000000003,  42.880001000000000,  44.029998999999997,  37.820000000000000,  86.449996999999996,61,  69.639999000000003,   9.590000000000000,26320.120999999999185,25994.479999999999563,25728.090000000000146,25445.094000000000960,25277.585999999999331,25056.886999999998807,24719.758000000001630,24480.116999999998370,24326.765999999999622,24095.884999999998399,23921.427999999999884,23986.419999999998254,23508.978999999999360,23179.282999999999447,22875.342000000000553,22949.063999999998487,22833.015999999999622,22573.273000000001048,22415.348000000001775,22192.562999999998283,  14.106005000000000,  14.155920999999999,  14.098324000000000,  14.249661000000000,  14.412630000000000,  14.606510999999999,  14.694559999999999,  14.667776000000000,  14.758524000000000,  14.038036000000000,  14.132440000000001,  14.226974000000000,  14.321885000000000,  14.417090000000000,  14.512330000000000,  14.607327000000000,  14.702050000000000,  14.796678999999999, 398.664030000000025, 401.461329999999975, 402.027589999999975, 405.319239999999979, 408.486539999999991, 410.398219999999981, 398.489410000000021, 400.830600000000004, 403.185909999999978, 405.557369999999992, 407.944759999999974, 410.345979999999997,52,7.8000002,6.8000002,74
6,Sacaca, -66.343592999999998, -18.117115999999999,218,Villa de Sacaca,50701,Potosí,7,Potosí-Villa de Sacaca,BOL-ADM3-33444609B14646898,  42.200001000000000,312,19118,12,  88.900002000000001,   0.249000000000000,  13.900000000000000,  49.200001000000000,  11.300000000000001,   3.000000000000000,1,  30.000000000000000,  59.000000000000000,  80.199996999999996,0,0,0,5,0,59,5,7,   7.600000000000000,  84.500000000000000,0,  68.000000000000000,1,0,   1.000000000000000,   0.900000000000000,  77.800003000000004,17,0,  60.200001000000000,30,20,   0.100000000000000,  76.099997999999999,  66.699996999999996,   7.900000000000000,  22.299999000000000,0,0,0,1,23,   0.900000000000000,   0.530000000000000,  56.000000000000000,  22.500000000000000,  84.400002000000001,   0.000000000000000,2,   0.100000000000000,0,0,0,0,  75.800003000000004,  89.800003000000004,   0.000000000000000,511,  19.320000000000000,  28.799999000000000,  64.169998000000007,  31.520000000000000,  82.360000999999997,  27.260000000000002,  41.200001000000000,  50.209999000000003,  11.279999999999999,  34.500000000000000,  27.950001000000000,  77.500000000000000,50,  80.879997000000003,   5.370000000000000,19041.936000000001513,19111.148000000001048,19151.291000000001077,19205.484000000000378,19270.401999999998225,19341.951000000000931,19433.648000000001048,19497.476999999998952,19592.500000000000000,19679.881000000001222,19771.854999999999563,19767.326000000000931,19817.659999999999854,19878.750000000000000,19991.604999999999563,20033.259999999998399,20121.354999999999563,20218.479999999999563,20301.312999999998283,20390.606999999999971,  11.849950000000000,  12.121867999999999,  12.064876000000000,  12.086696000000000,  12.208024000000000,  12.586779000000000,  12.856441000000000,  12.830930000000000,  12.948943999999999,  11.821607999999999,  11.963863999999999,  12.106173999999999,  12.248991999999999,  12.392670000000001,  12.537156000000000,  12.681931000000001,  12.826605000000001,  12.971223999999999, 398.909789999999987, 401.291499999999985, 402.900120000000015, 407.245999999999981, 410.157140000000027, 410.608889999999974, 398.819979999999987, 401.344670000000008, 403.885739999999998, 406.443269999999984, 409.014859999999999, 411.600189999999998,76.800003,23.1,7.5,34
7,Acasio, -66.014163999999994, -18.049848000000001,234,Acasio,51302,Potosí,7,Potosí-Acasio,BOL-ADM3-33444609B19396342,  42.099997999999999,313,6435,0,  82.699996999999996,   0.214000000000000,  12.300000000000001,  29.500000000000000,  18.000000000000000,   3.500000000000000,0,  36.700001000000000,  61.599997999999999,  80.199996999999996,0,0,0,31,0,86,6,10,   8.300000000000001,  87.900002000000001,68,  60.000000000000000,1,0,   1.100000000000000,   0.700000000000000,  72.699996999999996,10,0,  64.500000000000000,27,19,   0.000000000000000,  67.599997999999999,  46.099997999999999,   6.400000000000000,  25.799999000000000,0,0,0,2,29,   1.100000000000000,   0.440000000000000,  44.299999000000000,  23.299999000000000,  87.099997999999999,   0.000000000000000,2,   0.000000000000000,0,0,0,0,  81.500000000000000,  90.800003000000004,   0.900000000000000,337,  20.730000000000000,  30.770000000000000,  60.849997999999999,  38.950001000000000,  74.269997000000004,  22.180000000000000,  42.310001000000000,  35.939999000000000,  15.400000000000000,  48.310001000000000,  26.379999000000002,  77.519997000000004,50,  84.419998000000007,   3.900000000000000,6079.422899999999572,6105.084499999999935,6127.470699999999852,6116.320300000000316,6147.238299999999981,6204.519000000000233,6195.516099999999824,6223.206500000000233,6247.535200000000259,6265.889600000000428,6288.742699999999786,6324.702599999999620,6354.484900000000380,6374.698199999999815,6344.923799999999574,6393.925799999999981,6426.261700000000019,6435.475599999999758,6485.445300000000316,6517.032199999999648,  11.160867000000000,  11.181058000000000,  11.304964999999999,  11.214729999999999,  10.936804000000000,  12.358383999999999,  12.405063999999999,  12.700905000000001,  12.953930000000000,  10.808137000000000,  11.051854000000001,  11.296450999999999,  11.543138000000001,  11.793142000000000,  12.046875000000000,  12.302600999999999,  12.559367999999999,  12.816482000000001, 397.328610000000026, 400.503690000000006, 401.304320000000018, 404.127290000000016, 407.701230000000010, 410.079799999999977, 397.241640000000018, 399.725279999999998, 402.224820000000022, 404.742309999999975, 407.278079999999989, 409.830139999999972,84.5,23,8,26
8,Huanuni, -66.765546000000001, -18.263649000000001,182,Huanuni,40701,Oruro,5,Oruro-Huanuni,BOL-ADM3-33444609B48998442,  56.799999000000000,59,27975,82,  24.000000000000000,   0.042000000000000,  45.200001000000000,  19.200001000000000,  20.600000000000001,   1.300000000000000,1,  74.699996999999996,  38.299999000000000,  49.799999000000000,0,0,0,85,181,55,5,2,  16.500000000000000,  95.900002000000001,40,  48.299999000000000,2,1,   0.500000000000000,   0.500000000000000,  95.599997999999999,50,0,  96.500000000000000,180,85,   0.800000000000000,  69.400002000000001,  35.000000000000000,  12.100000000000000,  26.000000000000000,18,0,2,4,76,   0.400000000000000,   0.310000000000000,  10.300000000000001,  17.799999000000000,  53.200001000000000,  75.099997999999999,1,   0.800000000000000,0,0,0,0,  78.300003000000004,  96.199996999999996,   0.300000000000000,1309,  65.089995999999999,  30.850000000000001,  70.790001000000004,  55.250000000000000,  53.009998000000003,  47.229999999999997,  75.769997000000004,  42.049999000000000,  55.939999000000000,  69.250000000000000,  46.049999000000000,  87.419998000000007,50,  86.379997000000003,  17.430000000000000,19474.750000000000000,19874.184000000001106,20404.949000000000524,20552.340000000000146,20982.942999999999302,21428.021000000000640,21894.069999999999709,22606.866999999998370,22909.851999999998952,23430.723000000001775,23924.026999999998225,24172.210999999999331,25006.039000000000669,25643.000000000000000,26234.616999999998370,26747.562999999998283,27025.199000000000524,27778.363000000001193,28360.245999999999185,28972.629000000000815,  14.401510999999999,  14.563268000000001,  14.571878999999999,  14.534027000000000,  14.616847999999999,  14.774255000000000,  14.824553000000000,  14.874644000000000,  14.895752000000000,  14.428528999999999,  14.489658000000000,  14.550670999999999,  14.611686000000001,  14.672879000000000,  14.734228000000000,  14.795569000000000,  14.856846000000001,  14.918065000000000, 399.312740000000019, 401.934540000000027, 404.049770000000024, 407.402739999999994, 409.907469999999989, 410.972469999999987, 399.503300000000024, 401.922270000000026, 404.355160000000012, 406.801969999999983, 409.261469999999974, 411.733859999999993,46.799999,8.3999996,24,117
9,Huachacalla, -68.275615000000002, -18.795670999999999,174,Huachacalla,40501,Oruro,5,Oruro-Huachacalla,BOL-ADM3-33444609B43353864,  61.299999000000000,23,1011,0,  22.299999000000000,   0.010000000000000,  69.300003000000004,  19.200001000000000,  20.600000000000001,   0.200000000000000,0,  57.900002000000001,  35.000000000000000,  53.000000000000000,0,0,0,0,0,0,5,0,  21.700001000000000,  97.099997999999999,33,  52.200001000000000,1,1,   0.400000000000000,   0.000000000000000,  96.599997999999999,77,0,  95.099997999999999,189,88,   0.300000000000000,  36.500000000000000,  51.500000000000000,  71.099997999999999,  25.000000000000000,0,0,1,2,63,   6.900000000000000,   0.250000000000000,   5.000000000000000,   7.300000000000000,  26.799999000000000,   0.000000000000000,2,   0.300000000000000,0,0,0,0,  89.699996999999996,  91.500000000000000,   0.600000000000000,2526,  69.680000000000007,  30.079999999999998,  83.470000999999996,  63.119999000000000,  66.169998000000007,  56.970001000000003,  78.000000000000000,  19.120000999999998,  53.450001000000000,  89.379997000000003,  58.709999000000003,  77.120002999999997,50,  89.050003000000004,  35.540000999999997,1348.940100000000029,1234.188799999999901,1167.852200000000039,1093.422900000000027,1059.669200000000046,1145.291400000000067, 986.278810000000021, 963.988950000000045,1016.847499999999968,1055.936200000000099, 858.178589999999986, 848.686339999999973, 806.891049999999950, 800.153080000000045, 767.579960000000028, 706.023320000000012, 675.425780000000032, 657.392029999999977, 636.015380000000050, 621.468809999999962,  14.866137999999999,  14.909245000000000,  14.816506000000000,  14.798038000000000,  15.247589000000000,  15.581994999999999,  15.627427000000001,  15.579352000000000,  15.647954000000000,  14.725533000000000,  14.848744999999999,  14.972697000000000,  15.097771000000000,  15.223960000000000,  15.350508000000000,  15.476715000000000,  15.602466000000000,  15.728014999999999, 400.083619999999996, 402.538450000000012, 405.001250000000027, 406.820370000000025, 408.308839999999975, 411.772460000000024, 400.233549999999980, 402.426060000000007, 404.629999999999995, 406.845640000000003, 409.073759999999993, 411.315089999999998,61.799999,24,50,45
