id,GDLcode,region,year,NTL,GNI,HDI,POP,GNIpc,lnNTL,lnGNI,lnGNIpc,lnNTLpc
1,KHMr101,Banteay Mean Chey,2013,1975,2296047.3,.55699998,642.362,3574.3821,7.5883288,14.6467,20.137075,19.543858
1,KHMr101,Banteay Mean Chey,2014,12207,2540353,.57099998,655.73401,3874.0601,9.4097652,14.747813,20.196983,21.34469
1,KHMr101,Banteay Mean Chey,2015,19113,2693945,.57599998,666.33502,4042.929,9.8581247,14.806518,20.223614,21.777012
1,KHMr101,Banteay Mean Chey,2016,21903,2883682.3,.58099997,676.84698,4260.4639,9.994379,14.874578,20.260368,21.897615
1,KHMr101,Banteay Mean Chey,2017,39862,3079547,.58600003,687.284,4480.749,10.593179,14.940293,20.295479,22.481112
1,KHMr101,Banteay Mean Chey,2018,32660,3292681.8,.58999997,697.604,4719.9868,10.393907,15.007213,20.33259,22.266935
1,KHMr101,Banteay Mean Chey,2019,37052,3667511.5,.60100001,707.76703,5181.8062,10.520078,15.115024,20.411474,22.378643
2,KHMr102,Kampong Cham (incl Tboung Khmum),2013,3367,5008380,.53500003,1908.256,2624.585,8.1217804,15.426623,18.739414,18.988516
2,KHMr102,Kampong Cham (incl Tboung Khmum),2014,14960,5487448.5,.54100001,1988.74,2759.259,9.6131363,15.517974,18.748142,20.43856
2,KHMr102,Kampong Cham (incl Tboung Khmum),2015,18105,5809035,.546,2020.891,2874.4919,9.8039436,15.574925,18.773018,20.613331
2,KHMr102,Kampong Cham (incl Tboung Khmum),2016,23369,6204798,.551,2052.771,3022.645,10.059166,15.640834,18.807623,20.852901
2,KHMr102,Kampong Cham (incl Tboung Khmum),2017,27611,6612537,.55599999,2084.426,3172.354,10.22597,15.704478,18.840662,21.004402
2,KHMr102,Kampong Cham (incl Tboung Khmum),2018,42945,7055097.5,.56,2115.7241,3334.6021,10.667676,15.769261,18.875637,21.431204
2,KHMr102,Kampong Cham (incl Tboung Khmum),2019,42308,7828162.5,.56999999,2146.5481,3646.8611,10.652732,15.873239,18.950687,21.401796
3,KHMr103,Kampong Chhnang,2013,786,1335349.8,.53500003,548.755,2433.417,6.6669693,14.104704,19.91008,18.779999
3,KHMr103,Kampong Chhnang,2014,8173,1386946.4,.54799998,540.25897,2567.188,9.0085926,14.142615,19.979198,21.137224
3,KHMr103,Kampong Chhnang,2015,8264,1467679.6,.55199999,548.99298,2673.4031,9.0196648,14.199193,20.003702,21.132259
3,KHMr103,Kampong Chhnang,2016,11790,1566954.8,.55800003,557.65399,2809.905,9.3750076,14.264645,20.037848,21.471951
3,KHMr103,Kampong Chhnang,2017,15024,1669188.8,.56300002,566.25299,2947.7791,9.6174049,14.327848,20.070448,21.699045
3,KHMr103,Kampong Chhnang,2018,21858,1780093.9,.56699997,574.755,3097.135,9.9923229,14.392177,20.104969,22.059059
3,KHMr103,Kampong Chhnang,2019,24439,1973540,.57700002,583.12903,3384.397,10.103936,14.495339,20.179203,22.156208
4,KHMr104,Kampong Spueu,2013,3265,2404066.8,.55199999,931.55499,2580.7029,8.0910177,14.692673,19.439642,19.674843
4,KHMr104,Kampong Spueu,2014,18744,2611533.8,.55699998,968.862,2695.4651,9.8386297,14.775448,19.443884,21.383188
4,KHMr104,Kampong Spueu,2015,23653,2764246,.56199998,984.52502,2807.6951,10.071245,14.832278,19.468641,21.599768
4,KHMr104,Kampong Spueu,2016,27329,2952131.5,.56699997,1000.056,2951.9661,10.215704,14.898038,19.503096,21.728573
4,KHMr104,Kampong Spueu,2017,26897,3145676.5,.57300001,1015.477,3097.7329,10.19977,14.961539,19.535994,21.697338
4,KHMr104,Kampong Spueu,2018,39726,3355716,.57599998,1030.725,3255.6851,10.589762,15.026175,19.570822,22.072424
4,KHMr104,Kampong Spueu,2019,39623,3722433.3,.58700001,1045.741,3559.613,10.587165,15.129889,19.645607,22.055365
5,KHMr105,Kampong Thum,2013,3072,1855312.9,.52499998,754.96899,2457.469,8.0300875,14.433564,19.600891,19.824091
5,KHMr105,Kampong Thum,2014,14419,1937617.5,.53100002,757.00403,2559.5869,9.5763025,14.47697,19.638914,21.367615
5,KHMr105,Kampong Thum,2015,20944,2050373.8,.53600001,769.242,2665.447,9.9496078,14.533533,19.663403,21.724884
5,KHMr105,Kampong Thum,2016,26838,2189019.8,.54100001,781.37701,2801.49,10.197575,14.598965,19.697529,21.957197
5,KHMr105,Kampong Thum,2017,20823,2331801,.546,793.427,2938.8979,9.9438143,14.662151,19.730108,21.688133
5,KHMr105,Kampong Thum,2018,35832,2486685.5,.55000001,805.34003,3087.7461,10.486597,14.726461,19.764612,22.216013
5,KHMr105,Kampong Thum,2019,31753,2756823.8,.56,817.073,3374.0239,10.365743,14.82959,19.838814,22.080694
6,KHMr106,Kandal,2013,30067,4462910.5,.56999999,1233.912,3616.8789,10.311184,15.311312,19.496103,21.61392
6,KHMr106,Kandal,2014,33567,4469148.5,.57499999,1182.858,3778.2629,10.421299,15.312709,19.582012,21.766291
6,KHMr106,Kandal,2015,39864,4738741,.57999998,1201.98,3942.446,10.593229,15.371282,19.608511,21.922184
6,KHMr106,Kandal,2016,39845,5071689.5,.58499998,1220.942,4153.915,10.592752,15.439184,19.645109,21.906055
6,KHMr106,Kandal,2017,50369,5415339.5,.58999997,1239.769,4368.0229,10.827131,15.504746,19.680067,22.125132
6,KHMr106,Kandal,2018,56079,5789217,.59399998,1258.384,4600.5171,10.934517,15.571507,19.717022,22.217613
6,KHMr106,Kandal,2019,66575,6446427.5,.60500002,1276.718,5049.2178,11.106085,15.679037,19.795622,22.374718
7,KHMr107,Kaoh Kong,2013,1911,358715.38,.57700002,95.225998,3766.99,7.555387,12.790284,22.098459,21.419815
7,KHMr107,Kaoh Kong,2014,16794,334702.22,.59200001,84.621002,3955.3091,9.7287779,12.720997,22.265312,23.711275
7,KHMr107,Kaoh Kong,2015,17641,354976.53,.59600002,85.988998,4128.1621,9.7779818,12.779807,22.292049,23.744444
7,KHMr107,Kaoh Kong,2016,17682,380025.53,.602,87.345001,4350.856,9.780303,12.847994,22.328943,23.731117
7,KHMr107,Kaoh Kong,2017,19966,405889.53,.60699999,88.692001,4576.394,9.9017868,12.913836,22.364178,23.837297
7,KHMr107,Kaoh Kong,2018,26079,434039.03,.611,90.024002,4821.3701,10.168886,12.980889,22.401419,24.089491
7,KHMr107,Kaoh Kong,2019,26068,483559.38,.62199998,91.334999,5294.3491,10.168464,13.088929,22.480541,24.074612
8,KHMr108,Phnom Penh,2013,17502,11844221,.70200002,1407.095,8417.499,9.770071,16.28735,20.209467,20.941469
8,KHMr108,Phnom Penh,2014,15424,11503455,.69599998,1433.207,8026.374,9.6436806,16.258158,20.143499,20.796692
8,KHMr108,Phnom Penh,2015,16207,12244931,.70200002,1456.376,8407.8086,9.6931992,16.320623,20.173891,20.830173
8,KHMr108,Phnom Penh,2016,17437,13168054,.708,1479.351,8901.2373,9.7663498,16.393305,20.215267,20.887672
8,KHMr108,Phnom Penh,2017,19250,14125095,.71399999,1502.163,9403.1709,9.8652668,16.463463,20.254822,20.971287
8,KHMr108,Phnom Penh,2018,20458,15172113,.71799999,1524.719,9950.7598,9.9261293,16.534969,20.29652,21.017244
8,KHMr108,Phnom Penh,2019,23863,17038920,.73100001,1546.932,11014.653,10.080085,16.651011,20.383633,21.156736
9,KHMr109,Prey Veaeng,2013,756,2975696.8,.537,1055.986,2817.9319,6.6280546,14.905989,19.402208,18.086506
9,KHMr109,Prey Veaeng,2014,4166,3161575.8,.54400003,1037.291,3047.916,8.3347139,14.966581,19.498526,19.811028
9,KHMr109,Prey Veaeng,2015,6963,3348580,.54799998,1054.061,3176.8369,8.8483667,15.024047,19.523916,20.308641
9,KHMr109,Prey Veaeng,2016,7169,3578971.8,.55400002,1070.689,3342.6809,8.8775225,15.090586,19.559151,20.322145
9,KHMr109,Prey Veaeng,2017,15517,3816473,.55900002,1087.199,3510.3721,9.6496925,15.154838,19.592798,21.079014
9,KHMr109,Prey Veaeng,2018,21674,4074453.5,.56300002,1103.524,3692.22,9.9838696,15.220247,19.628401,21.398287
9,KHMr109,Prey Veaeng,2019,20896,4525997,.57300001,1119.601,4042.509,9.9473133,15.325349,19.704575,21.347267
10,KHMr110,Pousat,2013,583,1264242.9,.53299999,552.02802,2290.179,6.3682041,14.049984,19.843468,18.475286
10,KHMr110,Pousat,2014,18294,1372380,.53600001,588.37402,2332.4961,9.8143291,14.132057,19.798012,21.857647
10,KHMr110,Pousat,2015,15937,1451547.1,.54000002,597.88599,2427.7991,9.6763992,14.188141,19.822021,21.70368
10,KHMr110,Pousat,2016,33308,1548787.9,.54500002,607.31799,2550.209,10.413553,14.252983,19.855558,22.425182
10,KHMr110,Pousat,2017,24179,1648872.1,.55000001,616.68298,2673.7759,10.09324,14.315602,19.887573,22.089565
10,KHMr110,Pousat,2018,33281,1757366,.55400002,625.94202,2807.554,10.412743,14.379327,19.921492,22.394165
10,KHMr110,Pousat,2019,43614,1946233.9,.56400001,635.06201,3064.636,10.683134,14.481407,19.994642,22.650091
11,KHMr111,Svay Rieng,2013,2801,1540179.9,.54900002,562.32703,2738.9399,7.9377356,14.24741,20.003923,20.026333
11,KHMr111,Svay Rieng,2014,6787,1669956.3,.56099999,569.43298,2932.665,8.8227654,14.328308,20.059706,20.898806
11,KHMr111,Svay Rieng,2015,8320,1768379.9,.56599998,578.63898,3056.1021,9.0264187,14.385574,20.084898,21.08642
11,KHMr111,Svay Rieng,2016,8342,1889587.4,.57099998,587.76703,3214.8579,9.0290594,14.451869,20.119888,21.07341
11,KHMr111,Svay Rieng,2017,15751,2014508.8,.57700002,596.83099,3375.342,9.6646595,14.515886,20.153299,21.693707
11,KHMr111,Svay Rieng,2018,19308,2150157.5,.58099997,605.79199,3549.333,9.8682756,14.581052,20.18866,21.88242
11,KHMr111,Svay Rieng,2019,19232,2387406.8,.59100002,614.61798,3884.375,9.8643312,14.685719,20.264397,21.864012
12,KHMr112,Takaev,2013,1653,2757141.5,.57599998,953.91302,2890.3491,7.4103532,14.829705,19.529242,18.970461
12,KHMr112,Takaev,2014,5342,3002835.5,.59299999,947.01898,3170.8291,8.5833569,14.915068,19.62911,20.150719
12,KHMr112,Takaev,2015,6915,3181097,.59799999,962.32898,3305.623,8.8414497,14.972736,19.654705,20.392775
12,KHMr112,Takaev,2016,6741,3400818.8,.60399997,977.51001,3479.063,8.8159647,15.039527,19.690191,20.351637
12,KHMr112,Takaev,2017,16258,3627375.5,.60900003,992.58398,3654.4771,9.6963406,15.10402,19.724077,21.216709
12,KHMr112,Takaev,2018,21513,3873532.8,.61299998,1007.487,3844.7471,9.9764128,15.169678,19.75993,21.48188
12,KHMr112,Takaev,2019,21274,4304737,.62400001,1022.166,4211.3872,9.9652414,15.275227,19.83655,21.456244
13,KHMr113,Bat Dambang-Krong Pailin,2013,2931,4111048.5,.58099997,1155.287,3558.4651,7.9831023,15.229189,19.545662,19.351679
13,KHMr113,Bat Dambang-Krong Pailin,2014,12310,4527638,.59100002,1188.509,3809.511,9.4181681,15.325711,19.585482,20.758394
13,KHMr113,Bat Dambang-Krong Pailin,2015,23002,4800965.5,.59500003,1207.723,3975.2209,10.043337,15.384328,19.612024,21.367525
13,KHMr113,Bat Dambang-Krong Pailin,2016,27169,5138550.5,.60100001,1226.775,4188.666,10.209832,15.452282,19.648674,21.51837
13,KHMr113,Bat Dambang-Krong Pailin,2017,38945,5487012.5,.60600001,1245.693,4404.7871,10.569906,15.517895,19.683681,21.86314
13,KHMr113,Bat Dambang-Krong Pailin,2018,44317,5866143.5,.61000001,1264.397,4639.479,10.699123,15.584708,19.720688,21.977453
13,KHMr113,Bat Dambang-Krong Pailin,2019,55644,6532692,.62099999,1282.818,5092.4541,10.92673,15.692329,19.799381,22.190596
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2013,5231,2439698,.56099999,911.67499,2676.061,8.5623598,14.707385,19.497498,20.167757
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2014,17999,2590907,.56900001,922.73297,2807.8621,9.7980719,14.767519,19.53352,21.391413
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2015,22102,2742991,.574,937.65002,2925.3889,10.003424,14.824559,19.558487,21.580729
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2016,25329,2930192.5,.579,952.44202,3076.5049,10.139706,14.890578,19.593201,21.701357
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2017,31365,3123078.3,.58499998,967.12903,3229.2261,10.353448,14.954329,19.626347,21.899797
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2018,37243,3332462.3,.58899999,981.65002,3394.7561,10.52522,15.019222,19.661432,22.056665
14,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk,2019,47704,3698349.3,.59899998,995.95203,3713.3811,10.772771,15.123397,19.736679,22.289753
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2013,26362,1677856.3,.49200001,793.85199,2113.563,10.179679,14.333028,19.399914,21.923464
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2014,85393,1813974.4,.495,833.68201,2175.8589,11.35502,14.411031,19.380007,23.049849
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2015,97247,1917927,.49900001,847.15997,2263.949,11.485009,14.466756,19.403658,23.163801
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2016,145630,2045508.6,.50400001,860.52399,2377.05,11.888824,14.531157,19.436754,23.551964
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2017,156449,2176769.3,.509,873.79401,2491.1699,11.960485,14.593352,19.468344,23.608322
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2018,220967,2318984,.51300001,886.914,2614.666,12.305769,14.65664,19.501823,23.938702
15,KHMr115,Preah Vihear-Stueng Traeng-Kracheh,2019,190571,2566190,.52200001,899.83502,2851.845,12.15778,14.757933,19.57419,23.776249
16,KHMr116,Mondol Kiri-Rotanak Kiri,2013,17824,750968.56,.48699999,298.54599,2515.4199,9.7883015,13.529119,20.551952,22.510059
16,KHMr116,Mondol Kiri-Rotanak Kiri,2014,90439,887343.94,.49700001,324.88901,2731.2219,11.412431,13.695988,20.549702,24.049627
16,KHMr116,Mondol Kiri-Rotanak Kiri,2015,105881,939295.38,.50099999,330.14099,2845.134,11.570071,13.752885,20.574526,24.191233
16,KHMr116,Mondol Kiri-Rotanak Kiri,2016,100846,1003223.1,.50599998,335.349,2991.5791,11.52135,13.818728,20.609066,24.12686
16,KHMr116,Mondol Kiri-Rotanak Kiri,2017,125441,1069080.9,.50999999,340.51999,3139.554,11.739591,13.88231,20.642042,24.329798
16,KHMr116,Mondol Kiri-Rotanak Kiri,2018,171623,1140558.5,.514,345.633,3299.9121,12.053056,13.947028,20.676954,24.628359
16,KHMr116,Mondol Kiri-Rotanak Kiri,2019,143269,1265391.6,.523,350.66901,3608.5071,11.872479,14.050892,20.751888,24.433317
17,KHMr117,Siem Reab-Otdar Mean Chey,2013,6250,3214405.8,.52399999,1220.5861,2633.4939,8.7403383,14.983153,19.189661,20.053932
17,KHMr117,Siem Reab-Otdar Mean Chey,2014,39680,3446941.5,.52700001,1251.287,2754.717,10.588603,15.052998,19.209824,21.877356
17,KHMr117,Siem Reab-Otdar Mean Chey,2015,39200,3648916.8,.53100002,1271.516,2869.7371,10.576432,15.109941,19.234692,21.849148
17,KHMr117,Siem Reab-Otdar Mean Chey,2016,68247,3897472.3,.53600001,1291.575,3017.6121,11.130889,15.175838,19.269283,22.387953
