province,POLY_ID,ln_gdppc2001,ln_gdppc2017,growth,an_growth,club_name,club,high_club,id,inv_share2001,invpc2001,labor_share_2001,edu2001,agri_change,min_change,manu_change,const_change,serv_change,agri2001,min2001,manu2001,const2001,serv2001,pop_growth,manu_emp_share_change,CRED_DIST,CONST_CHG1,COORD_X,COORD_Y
Aceh,1,  10.206366070000000,  10.059080050000000,  -0.147286022000000,  -0.009205376000000,Poor,4,2,1,   5.170000000000000,   1.400000000000000,   2.100000000000000,  60.810000000000002,  11.760000000000000, -34.490000000000002, -15.109999999999999,   6.210000000000000,  31.629999999999999,  16.309999999999999,  41.570000000000000,  19.989999999999998,   3.590000000000000,  18.539999999999999,   1.400000000000000,   1.820000000000000,   0.790000000000000,   5.890000000000000,  96.909012155305263,   4.221964173435832
Bali,2,   9.837561402000000,  10.438137120000000,   0.600575717000000,   0.037535982000000,LowerMiddle,3,2,17,   7.810000000000000,   1.460000000000000,   9.390000000000001,  49.829999999999998,  -6.000000000000000,  -0.090000000000000,  -0.340000000000000,   0.950000000000000,   5.490000000000000,  19.699999999999999,   1.110000000000000,   6.670000000000000,   9.060000000000000,  63.450000000000003,   1.370000000000000,  -2.600000000000000,   2.060000000000000,   5.640000000000000, 115.131730865147176,  -8.369652366516872
Bangka Belitung Islands,3,   9.969181656000000,  10.461645130000001,   0.492463479000000,   0.030778967000000,LowerMiddle,3,2,9,   6.030000000000000,   1.290000000000000,   2.800000000000000,  32.759999999999998,  -0.620000000000000,  -3.360000000000000,  -5.190000000000000,   3.010000000000000,   6.160000000000000,  18.789999999999999,  16.620000000000001,  27.910000000000000,   5.600000000000000,  31.079999999999998,   1.240000000000000,  -0.980000000000000,   0.400000000000000,   3.290000000000000, 106.555748696034257,  -2.449728080108735
Banten,4,   9.907031266000001,  10.402230469999999,   0.495199207000000,   0.030949950000000,LowerMiddle,3,2,13,   9.180000000000000,   1.840000000000000,   8.930000000000000,  31.059999999999999,  -2.360000000000000,  -0.110000000000000, -13.050000000000001,   1.980000000000000,  13.550000000000001,   7.980000000000000,   0.810000000000000,  48.229999999999997,   8.699999999999999,  34.270000000000003,   1.590000000000000,   0.220000000000000,   6.090000000000000,   5.720000000000000, 106.107687827188386,  -6.456227779250625
Bengkulu,5,   9.295967458000000,   9.987598895000000,   0.691631437000000,   0.043226965000000,LowerMiddle,3,2,8,  15.420000000000000,   1.680000000000000,   1.010000000000000,  40.180000000000000,  -6.230000000000000,   0.030000000000000,   0.420000000000000,   0.210000000000000,   5.570000000000000,  34.579999999999998,   3.490000000000000,   5.820000000000000,   4.590000000000000,  51.509999999999998,   1.220000000000000,   2.850000000000000,   0.460000000000000,   4.380000000000000, 102.344680407250252,  -3.558703051049636
Gorontalo,6,   9.173780117000000,   9.974877549000000,   0.801097432000000,   0.050068589000000,LowerMiddle,3,2,27,  11.740000000000000,   1.130000000000000,   2.110000000000000,  19.620000000000001,  -5.110000000000000,   0.050000000000000,  -2.320000000000000,   1.360000000000000,   6.010000000000000,  42.229999999999997,   1.180000000000000,   6.200000000000000,  10.410000000000000,  39.979999999999997,   1.210000000000000,   2.420000000000000,   0.270000000000000,   7.740000000000000, 122.374158300537118,   0.687278439713134
West Papua,7,  10.210015909999999,  11.037611760000001,   0.827595849000000,   0.051724741000000,UpperMiddle,2,1,33,  15.520000000000000,   4.550000000000000,   2.650000000000000,  31.149999999999999,  -8.359999999999999, -27.550000000000001,  19.690000000000001,   6.230000000000000,   9.990000000000000,  18.699999999999999,  46.990000000000002,  11.440000000000000,   6.570000000000000,  16.309999999999999,   1.210000000000000,   1.040000000000000,   0.360000000000000,   5.860000000000000, 132.930950513795523,  -2.010279288570326
Jakarta,8,  11.241169230000001,  11.970660390000001,   0.729491157000000,   0.045593197000000,Rich,1,1,11,  23.030000000000001,  17.550000000000001,   8.600000000000000,  52.930000000000000,  -0.130000000000000,  -0.390000000000000,  -3.640000000000000,  -1.000000000000000,   5.150000000000000,   0.210000000000000,   0.570000000000000,  16.350000000000001,  14.080000000000000,  68.780000000000001,   1.460000000000000,  -8.390000000000001,  31.969999999999999,   2.540000000000000, 106.833696052554259,  -6.199073864769595
Jambi,9,   9.967494683000000,  10.567463360000000,   0.599968673000000,   0.037498042000000,UpperMiddle,2,1,6,  16.680000000000000,   3.560000000000000,   2.860000000000000,  34.659999999999997,  -0.490000000000000,  -4.930000000000000,  -2.270000000000000,   4.290000000000000,   3.400000000000000,  27.460000000000001,  28.500000000000000,  13.039999999999999,   3.080000000000000,  27.920000000000002,   1.380000000000000,  -2.530000000000000,   0.880000000000000,   5.520000000000000, 102.721901932012500,  -1.697698881633306
West Java,10,   9.653679133000001,  10.238387120000001,   0.584707992000000,   0.036544250000000,LowerMiddle,3,2,12,   9.730000000000000,   1.520000000000000,   7.060000000000000,  31.730000000000000,  -5.100000000000000,  -3.420000000000000,  -1.400000000000000,   2.560000000000000,   7.360000000000000,  12.539999999999999,   5.400000000000000,  44.500000000000000,   6.190000000000000,  31.370000000000001,   1.760000000000000,   2.590000000000000,  12.980000000000000,   5.720000000000000, 107.603062691076218,  -6.919860067432542
