districtID,district,ln_gdppc2010,ln_gdppc2018,g
1101,Simeulue,9.494976,9.7159357,0.22095966
1102,Aceh Singkil,9.370121,9.5238848,0.15376377
1103,Aceh Selatan,9.5419092,9.7588205,0.21691132
1104,Aceh Tenggara,9.471756,9.6525288,0.18077278
1105,Aceh Timur,9.9076548,9.8131428,-0.094511986
1106,Aceh Tengah,10.02134,10.20443,0.18308926
1107,Aceh Barat,10.14925,10.37635,0.22710037
1108,Aceh Besar,9.9045744,10.04249,0.13791561
1109,Pidie,9.5447655,9.7397938,0.19502831
1110,Bireuen,9.8073425,9.9418936,0.13455105
1111,Aceh Utara,10.37989,10.19355,-0.18634033
1112,Aceh Barat Daya,9.7787542,9.8708744,0.092120171
1113,Gayo Lues,9.7624922,9.9359407,0.17344856
1114,Aceh Tamiang,9.7632389,9.8870363,0.12379742
1115,Nagan Raya,10.39212,10.52425,0.13212967
1116,Aceh Jaya,9.8215218,9.9574471,0.13592529
1117,Bener Meriah,9.8875332,10.08436,0.19682693
1118,Pidie Jaya,9.4869461,9.6696339,0.18268776
1171,Banda Aceh,10.70774,10.9138,0.20606041
1172,Sabang,10.09144,10.34473,0.25329018
1173,Langsa,9.7663898,9.9632864,0.19689655
1174,Lhokseumawe,10.87575,10.42438,-0.45136929
1175,Subulussalam,9.4927588,9.6940718,0.20131302
1201,Nias,8.2985468,9.7458487,1.4473019
1202,Mandailing Natal,8.5794277,9.9073505,1.3279228
1203,Tapanuli Selatan,8.8726435,10.39913,1.5264864
1204,Tapanuli Tengah,8.3117628,9.8004017,1.4886389
1205,Tapanuli Utara,8.7132988,9.8187237,1.1054249
1206,Toba Samosir,9.2765436,10.2659,0.98935604
1207,Labuhan Batu,9.0200834,10.72445,1.7043667
1208,Asahan,9.0445023,10.44285,1.3983479
1209,Simalungun,8.8807259,10.31224,1.4315138
1210,Dairi,8.9841013,10.00478,1.0206785
1211,Karo,9.2280979,10.42076,1.1926622
1212,Deli Serdang,10.13565,10.36418,0.22852993
1213,Langkat,8.9697857,10.21122,1.2414341
1214,Nias Selatan,8.3954964,9.4469242,1.0514278
1215,Humbang Hasundutan,8.7303543,9.9492512,1.2188969
1216,Pakpak Bharat,8.364212,9.7249327,1.3607206
1217,Samosir,9.1429014,10.05627,0.91336823
1218,Serdang Bedagai,8.9989967,10.30802,1.3090229
1219,Batu Bara,9.9333353,10.92752,0.99418449
1220,Padang Lawas Utara,8.2220888,10.27835,2.0562611
1221,Padang Lawas,8.16609,10.21633,2.0502396
