hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.5897465,2.6056445,2.6198578,2.6575377,2.7196958,2.7215457,2.723397,2.751318,2.7531893,1101
2.2336791,2.2815614,2.3517506,2.3924787,2.4290009,2.4339123,2.4810703,2.5189447,2.5687003,1102
2.4339123,2.4412985,2.4487066,2.4561377,2.4586194,2.5062559,2.5634654,2.6180768,2.6269934,1103
2.6269934,2.6395276,2.6611543,2.6629646,2.6975935,2.8003936,2.8022985,2.8600526,2.8619981,1104
2.3234193,2.3351824,2.3446357,2.3804274,2.4045916,2.4094536,2.4586194,2.5087886,2.5214901,1105
2.7531893,2.7644453,2.7757473,2.7870955,2.79849,2.8639448,2.8658929,2.8678424,2.8697934,1106
2.4685724,2.4860871,2.5011985,2.5164018,2.5897465,2.6431201,2.6847832,2.7475786,2.7550621,1107
2.8214192,2.8233383,2.8252587,2.8271806,2.8561654,2.9150298,2.9170127,2.9189968,2.9609792,1108
2.5445149,2.54966,2.5739458,2.5862267,2.603873,2.6920958,2.693927,2.6957595,2.7049408,1109
2.6198578,2.6395276,2.6485174,2.6629646,2.7123082,2.7663257,2.7682076,2.7700906,2.7719748,1110
2.3257673,2.4070213,2.4810703,2.5164018,2.5704474,2.572196,2.5756965,2.5774486,2.5792017,1111
2.2907975,2.4314554,2.4412985,2.4810703,2.5316975,2.5342557,2.5419462,2.5809562,2.5827119,1112
2.0068974,2.1430712,2.2861748,2.3140519,2.3234193,2.3281174,2.3375421,2.4070213,2.4810703,1113
2.4611039,2.4685724,2.4735639,2.4810703,2.4860871,2.547086,2.5968003,2.6431201,2.6847832,1114
2.3422687,2.3900638,2.4911139,2.503726,2.5419462,2.5985668,2.602103,2.603873,2.6056445,1115
2.3541272,2.3948965,2.4685724,2.4835773,2.5291417,2.5316975,2.547086,2.5827119,2.6252077,1116
2.5316975,2.5985668,2.672034,2.7271035,2.7401154,2.8195012,2.8214192,2.8445361,2.8464711,1117
2.5265884,2.5342557,2.5419462,2.547086,2.6127415,2.6395276,2.6413231,2.7104645,2.7141531,1118
3.3396966,3.3601983,3.376231,3.4038937,3.4458134,3.4481573,3.4929965,3.4977503,3.5001297,1171
2.9489229,2.956955,2.9650087,2.975107,3.0035653,3.0076528,3.0364225,3.0759075,3.1329029,1172
2.9994831,3.0096989,3.0199492,3.0281746,3.0302343,3.0322957,3.0779998,3.1180255,3.1521351,1173
2.9329243,2.9489229,2.9650087,3.0076528,3.0117462,3.0158448,3.0405548,3.1137881,3.1159062,1174
2.1560979,2.1801856,2.2067702,2.2336791,2.260916,2.2632005,2.2861748,2.3422687,2.4070213,1175
1.814101,1.8214447,1.8288183,1.8362217,1.843655,1.845518,1.8755839,1.8774791,1.8793764,1201
2.3780243,2.4070213,2.4265487,2.438834,2.4437652,2.4660804,2.5316975,2.5599813,2.5792017,1202
2.5265884,2.5393801,2.54966,2.5669541,2.5985668,2.6074169,2.62164,2.679312,2.6847832,1203
2.399739,2.4118884,2.4216521,2.4339123,2.4462347,2.5634654,2.5652092,2.6091905,2.6109653,1204
2.6557312,2.6665888,2.7012646,2.7475786,2.7494476,2.79849,2.8003936,2.8271806,2.8639448,1205
2.8678424,2.8756537,2.883486,2.8913398,2.899215,2.9489229,2.9509289,2.9529362,3.0015235,1206
2.5897465,2.616297,2.6413231,2.6665888,2.6811345,2.693927,2.6994283,2.7419794,2.7475786,1207
2.4511812,2.4860871,2.5087886,2.5316975,2.5548155,2.616297,2.6180768,2.6413231,2.6431201,1208
2.6145186,2.6180768,2.62164,2.6252077,2.6847832,2.7031021,2.7141531,2.7308147,2.7738605,1209
2.6109653,2.6323578,2.6557312,2.6629646,2.6647761,2.6829581,2.6847832,2.7215457,2.7682076,1210
2.7178469,2.7457108,2.7719748,2.7870955,2.8022985,2.8348811,2.8368096,2.8426025,2.8445361,1211
2.7757473,2.7776353,2.7795248,2.8099313,2.8271806,2.8310282,2.8697934,2.8736987,2.9170127,1212
