id,mys2010,mys2011,mys2012,mys2013,mys2014,mys2015,mys2016,mys2017,mys2018
1101,8.1700001,8.2600002,8.3400002,8.5500002,8.8900003,8.8999996,8.9099998,9.0600004,9.0699997
1102,6.6500001,6.8600001,7.1599998,7.3299999,7.48,7.5,7.6900001,7.8400002,8.0500002
1103,7.5,7.5300002,7.5599999,7.5900002,7.5999999,7.79,8.0200005,8.3299999,8.3800001
1104,8.3800001,8.4499998,8.5699997,8.5799999,8.7700005,9.3199997,9.3299999,9.6300001,9.6400003
1105,7.04,7.0900002,7.1300001,7.2800002,7.3800001,7.4000001,7.5999999,7.8000002,7.8499999
1106,9.0699997,9.1300001,9.1899996,9.25,9.3100004,9.6499996,9.6599998,9.6700001,9.6800003
1107,7.6399999,7.71,7.77,7.8299999,8.1700001,8.4700003,8.6999998,9.04,9.0799999
1108,9.4300003,9.4399996,9.4499998,9.46,9.6099997,9.9099998,9.9200001,9.9300003,10.14
1109,7.9400001,7.96,8.0799999,8.1499996,8.25,8.7399998,8.75,8.7600002,8.8100004
1110,8.3400002,8.4499998,8.5,8.5799999,8.8500004,9.1400003,9.1499996,9.1599998,9.1700001
1111,7.0500002,7.3899999,7.6900001,7.8299999,8.0600004,8.0699997,8.0900002,8.1000004,8.1099997
1112,6.9000001,7.4899998,7.5300002,7.6900001,7.8899999,7.9000001,7.9299998,8.1199999,8.1300001
1113,5.5900002,6.2399998,6.8800001,7,7.04,7.0599999,7.0999999,7.3899999,7.6900001
1114,7.6100001,7.6399999,7.6599998,7.6900001,7.71,7.9499998,8.21,8.4700003,8.6999998
1115,7.1199999,7.3200002,7.73,7.7800002,7.9299998,8.2200003,8.2399998,8.25,8.2600002
1116,7.1700001,7.3400002,7.6399999,7.6999998,7.8800001,7.8899999,7.9499998,8.1300001,8.3699999
1117,7.8899999,8.2200003,8.6300001,8.9300003,9,9.4200001,9.4300003,9.5500002,9.5600004
1118,7.8699999,7.9000001,7.9299998,7.9499998,8.3000002,8.4499998,8.46,8.8400002,8.8599997
1171,11.91,12,12.07,12.19,12.37,12.38,12.57,12.59,12.6
1172,10.08,10.12,10.16,10.21,10.35,10.37,10.51,10.7,10.97
1173,10.33,10.38,10.43,10.47,10.48,10.49,10.71,10.9,11.06
1174,10,10.08,10.16,10.37,10.39,10.41,10.53,10.88,10.89
1175,6.3000002,6.4099998,6.5300002,6.6500001,6.77,6.7800002,6.8800001,7.1199999,7.3899999
1201,4.5900002,4.6300001,4.6700001,4.71,4.75,4.7600002,4.9200001,4.9299998,4.9400001
1202,7.27,7.3899999,7.4699998,7.52,7.54,7.6300001,7.8899999,8,8.1099997
1203,7.8699999,7.9200001,7.96,8.04,8.2200003,8.2700005,8.3500004,8.6700001,8.6999998
