GDLcode,constant,iso_code,country,region,shdi
AFGr101,World,AFG,Afghanistan,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),   0.573915000000000
AFGr102,World,AFG,Afghanistan,Central Highlands (Bamyan Daikundi),   0.484076000000000
AFGr103,World,AFG,Afghanistan,East (Nangarhar Kunar Laghman Nooristan),   0.477673000000000
AFGr104,World,AFG,Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),   0.514833000000000
AFGr105,World,AFG,Afghanistan,North East (Baghlan Takhar Badakhshan Kunduz),   0.460395000000000
AFGr106,World,AFG,Afghanistan,South (Uruzgan Helmand Zabul Nimroz Kandahar),   0.424135000000000
AFGr107,World,AFG,Afghanistan,South East (Ghazni Paktya Paktika Khost),   0.489170000000000
AFGr108,World,AFG,Afghanistan,West (Ghor Herat Badghis Farah),   0.461780000000000
AGOr201,World,AGO,Angola,Cabinda,   0.664938000000000
AGOr202,World,AGO,Angola,Zaire,   0.601090000000000
AGOr203,World,AGO,Angola,Uige,   0.530214000000000
AGOr204,World,AGO,Angola,Luanda,   0.686335000000000
AGOr205,World,AGO,Angola,Kuanza Norte,   0.532987000000000
AGOr206,World,AGO,Angola,Kuanza Sul,   0.444982000000000
AGOr207,World,AGO,Angola,Malange,   0.554597000000000
AGOr208,World,AGO,Angola,Lunda Norte,   0.510366000000000
AGOr209,World,AGO,Angola,Benguela,   0.522659000000000
AGOr210,World,AGO,Angola,Huambo,   0.526339000000000
AGOr211,World,AGO,Angola,Bie,   0.491354000000000
AGOr212,World,AGO,Angola,Moxico,   0.535001000000000
AGOr213,World,AGO,Angola,Kuando Kubango,   0.497698000000000
AGOr214,World,AGO,Angola,Namibe,   0.572294000000000
AGOr215,World,AGO,Angola,Huila,   0.507918000000000
AGOr216,World,AGO,Angola,Cunene,   0.508734000000000
AGOr217,World,AGO,Angola,Lunda Sul,   0.567594000000000
AGOr218,World,AGO,Angola,Bengo,   0.565254000000000
ALBr201,World,ALB,Albania,Berat,   0.774653000000000
ALBr202,World,ALB,Albania,Diber,   0.753036000000000
ALBr203,World,ALB,Albania,Durres,   0.798393000000000
ALBr204,World,ALB,Albania,Elbasan,   0.782022000000000
ALBr205,World,ALB,Albania,Fier,   0.764381000000000
ALBr206,World,ALB,Albania,Gjirokaster,   0.783341000000000
ALBr207,World,ALB,Albania,Korce,   0.779192000000000
ALBr208,World,ALB,Albania,Kukes,   0.748437000000000
ALBr209,World,ALB,Albania,Lezhe,   0.766557000000000
ALBr210,World,ALB,Albania,Shkoder,   0.779421000000000
ALBr211,World,ALB,Albania,Tirana,   0.817419000000000
ALBr212,World,ALB,Albania,Vlore,   0.802211000000000
ANDt,World,AND,Andorra,Total,   0.857458000000000
AREt,World,ARE,United Arab Emirates,Total,   0.866315000000000
ARGr101,World,ARG,Argentina,City of Buenos Aires,   0.867067000000000
ARGr102,World,ARG,Argentina,Rest of Buenos Aires,   0.818413000000000
ARGr103,World,ARG,Argentina,"Catamarca, La Rioja, San Juan",   0.830194000000000
ARGr104,World,ARG,Argentina,Cordoba,   0.834284000000000
ARGr105,World,ARG,Argentina,"Corrientes, Entre Rios, Misiones",   0.810655000000000
ARGr106,World,ARG,Argentina,"Chaco, Formosa",   0.805713000000000
ARGr107,World,ARG,Argentina,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",   0.835899000000000
